lipid,logFC,logCPM,LR,PValue,FDR,Transition,type,EKO-C1-Cells_r1,EKO-C1-Cells_r2,EKO-C1-Cells_r3,EKO-C2-Cells_r1,EKO-C2-Cells_r2,EKO-C2-Cells_r3,EKO-C3-Cells_r1,EKO-C3-Cells_r2,EKO-C3-Cells_r3,WT-C1-Cells_r1,WT-C1-Cells_r2,WT-C1-Cells_r3,WT-C2-Cells_r1,WT-C2-Cells_r2,WT-C2-Cells_r3,WT-C3-Cells_r1,WT-C3-Cells_r2,WT-C3-Cells_r3,blank
Lyso_PC(14:1),-0.014751568984636719,7.578978379646175,0.02695524221547352,0.8695890380336293,0.9730933140433253,466.2855 -> 184.1,PC,1654.1801261903,1255.3200836179,1487.7000999449,1321.0401039117,1418.0200996398,1219.0200805666,1643.5001068116,1193.6600837708,1519.0001029975,1459.260097504,1562.1601104724,1456.70010376,1369.2200889588,1346.7400894168,1551.4401168822,1391.7600975041,1438.4201126111,1492.9001045221,1330.6001091004
Lyso_PC(15:1),-0.012959197830363913,7.324700329838077,0.020642010514357878,0.8857584741225357,0.9730933140433253,480.3012 -> 184.1,PC,1164.2200813294,1537.3801040649,1053.3600654603,1173.5600776674,1172.9400825501,1048.7000885009,1106.3800811761,1155.1000900271,1226.2400894165,1331.2600860596,1276.8600845335,1169.9600906372,1258.6200866697,1171.5200920106,1075.4400711059,1138.8400726318,1302.6001014704,1201.8800773621,1147.4200782776
Lyso_PC(22:0),0.015086270131525963,8.897720957877693,0.028901331618783388,0.86500705658157,0.9730933140433253,580.4264 -> 184.1,PC,4205.4402999873,3056.9601936328,3657.7202529913,3952.4402580246,3594.1802597037,3163.4202690118,3887.4402465824,3970.1602325449,3760.7803039556,3507.6202354430998,3318.6802291878,3245.0402259833,4501.9802665697,4228.140277861,4281.3803405763,3857.4603004461,3438.3402519211,3297.3802337646,1851.7201271059
Lyso_PC(22:4),0.010529501826897934,7.780162354739744,0.013814235798244923,0.9064369207071482,0.9730933140433253,572.3638 -> 184.1,PC,1725.2601089468,1494.2401008606,1621.3401031507,1809.1001396176,1554.7401161181,1654.9801101688,1619.9001083375,1624.6001243592,1897.3201332094,1665.6601104726,1541.1400871274,1388.760097504,1472.1400909423,1881.3801460253,1781.2001419061,1904.5001602175,1569.4001159668,1987.3401260372,1206.4200859068
Lyso_PC(22:5),-0.014218177842217822,7.617783802992467,0.02504453178222743,0.8742561479329335,0.9730933140433253,570.3481 -> 184.1,PC,1391.7401084899,1233.9800910949,1328.1400947572,1468.6001014714,1314.7400856022,1474.9000892635,1581.1000976566,1520.700099946,1430.7800941471,1569.2401046759,1513.14011383,1310.7401046753,1394.4600982672,1499.4201164247,1432.9600944513,1677.360126496,1450.6401062014,1271.7400856017,1769.9401206975
Lyso_PC(3:1),-0.012100073601204523,7.371585369395949,0.018025653424659893,0.8931972595069577,0.9730933140433253,312.1134 -> 184.1,PC,1163.6200790409,1163.0600852967,1234.7600975034,1259.8200874329,1226.3400955199,1361.8801155089,1173.2000808718,1255.6400909421,1183.5000839237,1150.4200782774,1279.9600868227,1287.520095825,1421.1600914006,1195.0600814818,1206.4400787358,1306.9000968939,1306.6400985715,1170.8600959777,1149.7800750733
Lyso_PC(8:0),-0.011045978436820895,7.5898598244319,0.015117170499637567,0.9021451845789573,0.9730933140433253,384.2073 -> 184.1,PC,1323.1800956726,1423.6001090997,1241.4000892638,1493.2600975037,1429.3401031494,1477.800109864,1388.8400955202,1492.400104522,1516.1601104746,1541.5200996401,1617.9401283261,1361.5400924685,1668.2401199347,1444.4800987243,1386.0200996403,1411.780094147,1330.0800857545,1371.3800811768,1392.8801002503
Lyso_Sphingosine-1-phosphocholine,0.010039335027832271,7.2975588134467895,0.01236178284355649,0.9114707921927633,0.9730933140433253,465.3379 -> 184.1,PC,1067.6800727844,1312.9400939942,1197.540081024,1084.1000671387,1101.560081482,1083.7600746157,1198.5000801085,1066.5000762939,1136.0600814821,1067.5600738526,1225.8400802609,1084.1600723267,1153.8800888062,1174.7000808716,1118.4400863647,1191.0600891112001,1207.0200805666,1161.0200958248,1459.2001075741
PC (32:1),-0.012525575593623951,15.81200819647266,0.020239186028447875,0.8868710915287822,0.9730933140433253,732.6 -> 184.1,PC,483308.75305161,430859.30993661,418356.14685039,497205.01684581,477464.84631348,479920.43432614,460780.93701164,450340.54553222,434737.06689448,434552.56909183,422033.74963391,411591.14428729,542850.17517105,539068.26159674,536601.03674311,467091.93139638,463425.81054672,443800.35449191,30069.9421653802
PC (32:2),-0.012702063976855636,14.349218827474097,0.02080890299407656,0.8853007590702929,0.9730933140433253,730.5 -> 184.1,PC,177802.670959406,162671.292358388,155753.991394144,179537.430969124,172766.27282732,172843.430908208,165424.729827755,159967.634277325,156051.269622837,157232.892089756,151224.651123083,150716.331420846,202213.235504142,189859.23339828,196400.276916445,165954.393982016,171416.414672882,164478.731353746,6489.4604911808
SM (d18:1/24:0),-0.009653682173033067,10.078260458325051,0.011935019440325156,0.9130061746299281,0.9730933140433253,815.7 -> 184.1,PC,8132.880531311,7732.0805397009,7822.0205879214,8651.0005912802,8209.3405609122,8014.9804763784005,7681.3804702742,7951.7205123903,6895.3604621888,8153.2206306411,7696.3405914294,7151.8004951479,8520.6205062823,9637.9205932654,8244.9205856327,7208.8805656385,8767.4206924434,7688.7005882262,8831.2206382744
Lyso_PC(19:2),-0.007163259171278659,7.260630074010669,0.006292291423370955,0.9367749450451457,0.9826952854885352,534.3481 -> 184.1,PC,1159.5400695805,1078.5800743101,1081.7200775146,1126.6800727841,1308.7400894164,1228.9000968934,1065.8800735474,1060.3000831603,1062.5600662232,1240.980079651,1311.80009842,1064.4200744629,1058.6200675963,1049.7000732424,1155.0400733946,1236.1800918582,1076.6800765992,1189.2400932308,1145.6800804138
PC (36:6),0.007252946455644836,8.48699296882775,0.006645628420159255,0.9350278444633494,0.9826952854885352,778.5 -> 184.1,PC,2713.8201942466,3185.4202194219,2382.0201492316,3143.3801918026,2402.360172272,2292.6001510631,2996.3602066039,3175.2002220147,2642.6601982108,2270.2601661695,2535.5201721194,2756.0601997378,3231.14025116,3366.3602447502,3386.9202346798,2865.2001762386,2715.020202637,2284.2201614382,1371.6601104736
PC (52:4),0.0073553340937351774,7.227287431754271,0.0066280787472656755,0.9351135002867832,0.9826952854885352,1006.8 -> 184.1,PC,1100.5600776673,1085.6200790404,1163.6200904846,1162.660079956,1103.2200813291,1070.2000732422,1191.9800720215,1073.0200691223,1066.2800865171,1283.3000984189,1090.4800796507,1097.6000785828,1133.6200752254,1081.4600753786,1093.6000633241,1153.7200775151,1079.9000816345,1140.1400833129,1061.3800621033
C12:1,0.006097901051977788,11.13955024390688,0.00478081531282637,0.9448754435232716,0.9838677562629461,197.2 -> 197.2,FFA,16861.1012077355,16622.5611572231,16516.561172487,17759.5412597654,16785.3212280303,17315.1413116425,16970.5411834719,15776.3211288432,17801.1212882939,18213.2412681556,17076.801227571,16566.8412170416,17768.6012496918,17709.2211456322,16422.0411605827,16600.8811569244,16620.1411972037,17670.3212966918,14202.7810058631
PCo(42:6),0.005955655170886489,7.657694556991112,0.004404243449499745,0.9470876532250789,0.9838677562629461,848.6 -> 184.1,PC,1505.0001144415,1401.280105591,1325.0000915527,1461.9401092536,1381.1000900261,1826.1201438908,1529.0601272583,1453.5001029974,1721.9601211557,1464.6201019286,1409.460098267,1264.0000915527,1433.6801033031,1568.580108643,1670.4401321408,1757.5401382453001,1663.8201065067,1586.6801300044,1308.8400802607
C30:0,0.002408583448206134,12.085401331294054,7.471563457599473e-4,0.978193210675338,0.9933853416117601,451.4 -> 451.4,FFA,36951.7824592627,32148.3822059639,32662.6423721249,33930.5224647547,33017.2623634283,34182.6224479621,31918.2820739797,34144.1426124522,31999.0424156149,35875.8625564543,33898.0422439583,35135.7824707044,35024.6224136308,33458.2623901353,36706.8226432792,31968.3821945172,31808.0620727537,31919.082248695,18169.7811965941
Lyso_PC(21:0),0.001763420626682778,7.904593620011,3.8853928398197013e-4,0.984273596783349,0.9933853416117601,566.4107 -> 184.1,PC,1985.2801513683,1975.1601371764,1535.5401077275,1762.2401275625,1671.9001388549,1718.8601264955,2147.920139313,1851.3201103202,1649.7201042179,1926.0401382457,1646.7401161173,2220.7001762389,1895.6001167299,1766.1801147451,1957.6601409904,1618.5801200872,1861.3001289363,1667.4601325994,1338.8600997924
PC (40:9),-0.0020506779036448064,7.720054955764892,5.227614954801396e-4,0.9817587741749665,0.9933853416117601,828.6 -> 184.1,PC,1899.3001403804,1464.7601013184,1467.880100251,1458.8001098636,1504.4601058962,1669.6601295472,1581.360118866,1369.9800949105,1592.9801025393,1354.9800872798,1616.7001152041,1276.9600906376,1552.9001045226,1695.9201240527,1583.1601257319,1898.160148621,1455.9801101679,1846.8801345835,1595.4801292429
PC (44:12),0.0035803128529238145,7.320543720316747,0.0015756084062230613,0.9683371377353562,0.9933853416117601,878.6 -> 184.1,PC,1277.5600891114,1169.1800804138,1225.5000953679,1142.760066986,1077.0600814818,1371.5400924679,1113.5400733951,1139.6800727843,1186.3000831604,1207.0400848389,1174.9600791932,1164.8800888063,1205.1800918578,1223.5000839231,1115.7200813294,1282.6000900262,1161.8200836181,1330.2400932311,1109.660079956
PC (44:3),-0.0012727647179407817,7.3096881007394625,1.990520739418855e-4,0.9887433540341349,0.9933853416117601,896.7 -> 184.1,PC,1244.360088348,1200.1600875854,1095.6400794983,1170.0200805665,1144.9600715639,1192.0600852972,1201.9000854493,1091.380077362,1275.1800994878,1294.1600799563,1282.4200859063,1159.660068512,1209.5200881958,1277.1000938416,1153.4000892639,1134.9800796508,1153.4000740053,1157.1400833128,1084.0200767516
PC (44:8),0.0024454686861323438,7.291502043059897,7.342202403548548e-4,0.9783827673907034,0.9933853416117601,886.6 -> 184.1,PC,1178.2000770569,1132.6000785828,1135.4600753785,1103.4800910947,1189.0400810242,1185.600086212,1199.6000938415,1211.4000778202,1096.380077362,1082.5600700378,1211.080089569,1136.4200782777,1310.8600921628,1240.8000793456,1226.7600898742,1111.5800743101,1179.0400886534,1127.0200691222,1149.6200828552
SM (d18:0/18:0),-0.003014866114605206,14.317260592172481,0.0011722874288579987,0.9726868198611821,0.9933853416117601,733.6 -> 184.1,PC,172324.570373506,161420.570739657,145339.289306521,176954.592315629,166882.411499133,172635.813598661,166887.313690089,157209.991424663,150986.991882324,152712.949066124,148984.350311263,144589.511413467,191392.334289454,193852.714141893,187565.073303302,164126.111968923,162169.930236865,160736.052459688,11872.8607711758
Lyso_PC(7:0),3.9485279494828564e-4,7.50531501982799,1.928144814300481e-5,0.9964964486253048,0.9964964486253048,370.1916 -> 184.1,PC,1361.3601036075,1453.3801040655,1271.7600936888,1406.0200996395,1380.0601043702,1309.9200820924,1384.2800941471,1226.4800910953,1468.9200973507,1318.1600914002,1224.6400833126,1615.380119324,1256.9600830083,1312.9000968933,1400.3800888067,1671.400112153,1238.9000740045,1426.0800895692,1112.2000732422
