lipid,logFC,logCPM,LR,PValue,FDR,Transition,type,EKO-R1-Media_r1,EKO-R1-Media_r3,EKO-R2-Media_r1,EKO-R2-Media_r2,EKO-R2-Media_r3,EKO-R3-Media_r1,EKO-R3-Media_r2,EKO-R3-Media_r3,WT-R1-Media_r1,WT-R1-Media_r3,WT-R2-Media_r1,WT-R2-Media_r2,WT-R2-Media_r3,WT-R3-Media_r1,WT-R3-Media_r2,WT-R3-Media_r3,blank
Lyso_PC(14:0),-0.1309428388020116,8.987825064877907,4.025732272827524,0.0448111625259128,0.14542733605637145,468.3012 -> 184.1,PC,4767.7204170212,4898.1003570552,4688.9803962699,5727.6203918439,5001.0203590392,6202.5004119871,5373.2003517158,6186.1004486072,5580.9004364034,5763.4003677361,5970.7003593444,6170.4604339596,5834.940402985,5050.6203575121,4854.3202896115,5646.9803619382,2486.4401474011
Lyso_Sphingosine-1-phosphocholine,-0.13458317985261922,6.80962562557839,3.925992026710052,0.047545131172914666,0.1518605682239364,465.3379 -> 184.1,PC,1171.7000846863,1099.8200759888,1221.0400772097,1080.3400802613,1036.6000785827,1121.4000778197,1151.8200836182,1136.620082855,1115.3200798035,1159.420085907,1477.5001106261,1252.6000938411,1258.3000869751,1037.3200721739,1095.6200790406,1085.0800857544,1459.2001075741
Lyso_C17 sphingosine-1-phosphocholine,-0.1330244473554775,6.8460402111577245,3.8508312810686327,0.049721341851063944,0.1552852540427081,451.3223 -> 184.1,PC,1127.360080719,1119.7000808716,1181.9200820923,1246.7600860594,1293.9600868228,1068.6000633239,1219.3200874331,1151.2200851443,1099.0400733947,1229.3000717164,1218.100082398,1276.9600868223,1147.6000823974,1398.6200904844,1178.400081634,1326.7400817875,1155.9200897217
SM (d16:1/24:0),0.12787045690546137,9.175396418884631,3.8391596424701433,0.05006860994834981,0.1552852540427081,787.7 -> 184.1,PC,4867.9403953541,4938.8203506465,6509.6404800442,5738.1204071051,6205.8805046075,6090.5004158016,6110.3204116852,6524.8004455558,5041.760360718,4988.540290833,5400.0004272448,5394.8804931651,5629.0004844673,4781.4403266909,5007.2804031367,4898.4203567507,15561.8409767029
PC (30:2),0.12773718771504194,7.436029257323417,3.6639666802116118,0.055601110542241663,0.1675864458597143,702.5 -> 184.1,PC,1908.5201416012,2507.5601806637,1582.980113982,2220.9801559443,1423.3201065058,1914.2601509092,1996.3401489259,1824.3201255794,1529.2801170341,1836.3401489258,1763.3201065056,1656.6201171867,1720.4601097099,1714.8401107781,1575.0401115406,1681.9601135252,1994.9601326001
PC (34:3),-0.12711513671883537,7.721604443924161,3.667419544137278,0.055486026150274835,0.1675864458597143,756.6 -> 184.1,PC,1826.1601448062,1698.9801292424,2110.9001655563,2110.5401649477,2220.760139466,2161.7001609795,2587.8402023324,2106.5001373276,2242.2801780695,2486.4401779181,1813.5201187142,2103.340145111,2064.1201286313,2561.1401939392,2204.6601562489,2089.2801284795,3224.5402679439
PC (40:9),-0.1278420746019673,6.8460174491463075,3.5495197841059003,0.059562685771294324,0.17703353826468035,828.6 -> 184.1,PC,1295.8401031498,1081.8600769045,1227.0000915528,1137.5200881953,1072.7800674437,1114.6000709533,1062.3400764465,1233.360088348,1190.8000793453,1064.9400749205,1361.1000785824,1228.2400932307,1182.4200859067,1203.9200859067,1211.5800971985,1206.240077972,1595.4801292429
PC (36:0); PCp(38:6),0.12202588340994662,7.3520077135978905,3.32263876967583,0.06833206983932123,0.19760895872452358,790.6 -> 184.1,PC,1411.2400970455,1506.580112457,2137.2801475506,1631.0801200872,1702.0401229866,1775.9401397706,2068.0201492306,1750.0801467899,1562.100112915,1308.58008194,1541.5401039132,1815.8401107791,1557.300121307,1864.6001205448,1250.2000846864,1396.5601081848,2908.0001907348
SM (d18:1/26:0),-0.12424185248452353,6.726200796592504,3.32641700793193,0.06817524224553499,0.19760895872452358,843.7 -> 184.1,PC,1030.1800727843,1087.76007843,1010.7000694274,1070.5000686648,1059.1000785829,1094.4000778197,1125.7200775146,1060.4600715638,1345.4400901792,1109.4200782778,1106.120075226,1044.7600669859,1116.3400764465,1060.6000785826,1090.3800735475,1032.5600700379,1387.6000938415
C34:0,-0.11534645591667235,11.505989681019296,3.1824839913156637,0.07443149918821151,0.21005579871210675,507.5 -> 507.5,FFA,31309.942291263,31495.9622573827,29745.8419494667,31292.7223815907,31229.1422958391,32590.4623603808,28443.0020332359,30058.7220077434,31466.0422401434,32417.2222900396,31884.4421424865,35716.3824615481,35374.222454072,29457.3220634463,30249.6222000172,28758.8220176689,15378.2811698904
