Majority protein IDs,Protein ID,Gene names,logFC,PValue,FDR,Fold_change,C1,C2,C3,C4,C5,average_C_lfq,R1,R2,R3,R4,R5,average_R_lfq,MS/MS count C1,MS/MS count C2,MS/MS count C3,MS/MS count C4,MS/MS count C5,MS_C_average,MS/MS count R1,MS/MS count R2,MS/MS count R3,MS/MS count R4,MS/MS count R5,MS_R_average
Q5XIF0,Q5XIF0,Tex264,0.469484613,0.797405765,0.999934107,1.384614741,11452000,13441000,0,0,11448000,7268200,13499000,18397000,0,0,17682000,9915600,2,3,0,0,4,1.8,2,3,0,0,2,1.4
Q5XIF3,Q5XIF3,Ndufs4,-0.357002835,0.845092989,0.999934107,0.780784959,33120000,27856000,37142000,36483000,34183000,33756800,24663000,30867000,18363000,25096000,30973000,25992400,6,6,6,5,4,5.4,3,4,4,3,4,3.6
Q5XIG0,Q5XIG0,Nudt9,0.117266392,0.948770228,0.999934107,1.084677675,10597000,14347000,9244000,13049000,14262000,12299800,13941000,17804000,18155000,16135000,0,13207000,2,5,4,3,2,3.2,4,5,4,3,0,3.2
Q5XIG4,Q5XIG4,Ociad1,-0.835038486,0.649502746,0.999934107,0.560568085,33057000,31806000,28469000,32663000,29877000,31174400,31952000,22737000,0,0,31090000,17155800,7,3,5,2,6,4.6,6,5,0,0,2,2.6
Q5XIG8;M0RCV0,Q5XIG8,Strap;LOC100910575,0.29891689,0.870002299,0.999934107,1.230220473,290320000,370670000,278730000,3.25E+08,327720000,318488000,360430000,370400000,436520000,369900000,394860000,386422000,32,24,27,27,33,28.6,35,31,35,27,24,30.4
Q5XIH3,Q5XIH3,Ndufv1,-0.266837835,0.883827538,0.999934107,0.83113928,207050000,204200000,182340000,210810000,216240000,204128000,149400000,148900000,184990000,177430000,176290000,167402000,24,21,23,19,20,21.4,15,19,15,16,12,15.4
Q5XII0,Q5XII0,Epdr1,-1.468616187,0.430492142,0.999934107,0.361328714,87659000,90250000,74533000,91112000,85620000,85834800,36005000,42108000,0,41079000,34083000,30655000,12,9,11,6,9,9.4,5,3,2,2,2,2.8
Q5XIJ3;P41565,Q5XIJ3,Idh3g,-0.521980064,0.775443115,0.999934107,0.696415364,257840000,288310000,252150000,270540000,297870000,273342000,193480000,228890000,217560000,196820000,103690000,188088000,24,22,20,11,16,18.6,15,15,13,8,5,11.2
Q5XIK2,Q5XIK2,Tmx2,-0.402635377,0.825652059,0.999934107,0.756475164,64617000,69407000,53907000,54329000,62342000,60920400,45282000,47316000,37698000,44811000,52248000,45471000,10,11,9,10,14,10.8,5,5,3,6,8,5.4
Q5XIL4,Q5XIL4,Sorbs3,0.884635579,0.630482756,0.999934107,1.846298193,0,0,14296000,15497000,16820000,9322600,16704000,28072000,23867000,0,15826000,16893800,0,0,2,3,2,1.4,4,5,5,0,3,3.4
Q5XIM0,Q5XIM0,Bcs1l,-0.886352759,0.629829357,0.999934107,0.540980029,24999000,26634000,23961000,32123000,24403000,26424000,21321000,0,24321000,0,24383000,14005000,8,9,5,8,5,7,4,0,4,0,2,2
Q5XIM7,Q5XIM7,Kars,0.190013683,0.917100395,0.999934107,1.140774535,489840000,633780000,635580000,526080000,565340000,570124000,700600000,715800000,600620000,491860000,696190000,641014000,24,31,28,33,32,29.6,30,37,42,46,38,38.6
Q5XIM9,Q5XIM9,Cct2,0.089644096,0.960823991,0.999934107,1.064107641,1743800000,1424900000,1.46E+09,1333300000,1163600000,1424120000,1.53E+09,1545900000,1505100000,1495700000,1400600000,1495860000,70,85,76,75,73,75.8,61,74,61,79,60,67
Q5XIN6,Q5XIN6,Letm1,0.07977549,0.965133242,0.999934107,1.056853562,346840000,389070000,402570000,407760000,363140000,381876000,392800000,459270000,387330000,355010000,395430000,397968000,20,29,22,24,29,24.8,22,25,22,29,22,24
Q5XIP9,Q5XIP9,Tmem43,0.87286339,0.634971688,0.999934107,1.831293958,196180000,190590000,179610000,182360000,195080000,188764000,326280000,398270000,329330000,277350000,3.73E+08,340846000,15,20,16,17,19,17.4,28,38,29,22,24,28.2
Q5XIT9,Q5XIT9,Mccc2,-0.320683155,0.860648356,0.999934107,0.800690639,221970000,166870000,161840000,150280000,137560000,167704000,113870000,135300000,139690000,152690000,121710000,132652000,13,31,26,26,32,25.6,16,20,16,21,17,18
Q5XIU4,Q5XIU4,Bcap29,-0.029237419,0.987217236,0.999934107,0.979938137,20609000,17101000,22063000,23301000,19366000,20488000,19457000,15199000,16089000,28534000,19904000,19836600,3,3,6,6,5,4.6,3,4,4,4,3,3.6
Q5XIU9,Q5XIU9,Pgrmc2,0.342465084,0.8513111,0.999934107,1.267921198,32993000,31133000,31863000,32585000,31035000,31921800,43892000,32939000,42196000,39269000,41326000,39924400,7,4,9,3,5,5.6,8,6,7,5,4,6
Q5XIW8,Q5XIW8,Sart1,0.028449341,0.987561754,0.999934107,1.019915296,34231000,43736000,39474000,58581000,32327000,41669800,37708000,36779000,37866000,47306000,49755000,41882800,3,9,4,11,7,6.8,6,6,2,6,6,5.2
Q60587;A0A0G2K330,Q60587,Hadhb,-0.145807105,0.936330322,0.999934107,0.903873571,857510000,924830000,851110000,886610000,886140000,881240000,760510000,702870000,865620000,852700000,749050000,786150000,60,58,55,54,51,55.6,47,43,43,35,33,40.2
Q62599;F1LQS1;A0A140TA98,Q62599,Mta1,-0.085083166,0.962815417,0.999934107,0.94273019,123710000,138980000,127720000,122670000,126020000,127820000,124840000,120350000,114240000,121320000,113860000,118922000,12,10,14,13,10,11.8,8,14,10,10,10,10.4
Q62636;O08814,Q62636,Rap1b,0.283137079,0.876797356,0.999934107,1.216837972,378920000,341570000,417560000,383260000,381940000,380650000,508300000,449370000,380680000,460590000,486050000,456998000,35,38,42,25,36,35.2,39,30,23,22,24,27.6
Q62651,Q62651,Ech1,0.371758473,0.8387935,0.999934107,1.293929015,486660000,519160000,387050000,454370000,465670000,462582000,532320000,627910000,597250000,611540000,584790000,590762000,48,52,34,31,37,40.4,40,48,37,36,30,38.2
Q62658,Q62658,Fkbp1a,-0.178624043,0.92204989,0.999934107,0.883545268,288550000,264870000,323260000,282300000,263080000,284412000,315150000,233430000,225330000,239240000,226670000,247964000,17,12,13,11,11,12.8,15,12,7,10,9,10.6
Q62703,Q62703,Rcn2,-1.071978821,0.561326167,0.999934107,0.475666121,130310000,121100000,165940000,140450000,134190000,138398000,98768000,70613000,0,94916000,61261000,65111600,19,13,16,15,13,15.2,4,6,5,8,4,5.4
Q62733,Q62733,Tmpo,-0.382359058,0.834275496,0.999934107,0.767182088,785470000,666850000,665250000,667260000,628780000,682722000,508030000,560560000,508810000,478830000,527500000,516746000,43,41,39,41,36,40,31,39,22,30,25,29.4
Q62780,Q62780,Ddx46,0.203074351,0.911429492,0.999934107,1.151148816,62884000,77993000,73993000,77129000,91139000,76627600,84683000,95766000,88016000,88366000,78474000,87061000,7,12,9,15,18,12.2,11,10,12,14,9,11.2
Q62825,Q62825,Exoc3,1.574673935,0.399336013,0.999934107,2.978681636,15949000,0,0,0,0,3189800,19309000,0,27752000,0,0,9412200,3,0,0,2,2,1.4,2,2,3,0,2,1.8
Q62844;A0A0G2K2E3;A0A096MKC1,Q62844,Fyn,-0.042227493,0.981538932,0.999934107,0.971154346,134980000,102670000,105980000,81955000,80173000,101151600,98515000,102350000,101670000,95540000,86939000,97002800,10,15,11,8,11,11,15,8,15,12,14,12.8
Q62847-2,Q62847-2,NA,-1.430745163,0.442015242,0.999934107,0.37093925,0,0,31145000,0,24071000,11043200,0,20262000,0,0,0,4052400,2,2,4,0,4,2.4,0,2,0,2,2,1.2
Q62896,Q62896,Bet1,-0.311761409,0.864479317,0.999934107,0.805657519,0,12475000,15561000,0,0,5607200,0,0,0,0,21949000,4389800,0,3,2,0,4,1.8,0,2,0,0,0,0.4
Q62902;F1LRA1;A0A0G2JXC1,Q62902,Lman1,0.211744113,0.907668073,0.999934107,1.158087381,110170000,99373000,80252000,73735000,72237000,87153400,105580000,94405000,108820000,97206000,92173000,99636800,10,10,11,7,11,9.8,16,12,14,17,12,14.2
Q62920;Q62920-2,Q62920,Pdlim5,0.378696038,0.835835955,0.999934107,1.300166185,655900000,633800000,659780000,567350000,561910000,615748000,857830000,933690000,754950000,710200000,693620000,790058000,51,51,48,47,42,47.8,46,55,48,43,41,46.6
Q62950,Q62950,Crmp1,-0.414745562,0.820513569,0.999934107,0.750151782,100600000,127930000,76509000,71460000,77837000,90867200,87976000,59442000,70543000,69528000,49175000,67332800,7,12,12,10,9,10,7,10,9,11,4,8.2
Q62952-2;Q62952,Q62952-2,Dpysl3,0.06417827,0.971946398,0.999934107,1.045489281,1261200000,1696300000,1536400000,1263300000,1339400000,1419320000,1713100000,1659900000,1333300000,1.24E+09,1372800000,1463620000,51,86,74,76,72,71.8,82,74,76,79,64,75
Q62967,Q62967,Mvd,0.47181886,0.796424982,0.999934107,1.386856829,59159000,69479000,64206000,65756000,58487000,63417400,81840000,92103000,86927000,107300000,66281000,86890200,14,12,10,7,9,10.4,8,7,13,8,5,8.2
Q62991,Q62991,Scfd1,0.13369507,0.941607437,0.999934107,1.097100029,98692000,115070000,116800000,88880000,118200000,107528400,137010000,150260000,106830000,85379000,102390000,116373800,8,14,9,10,14,11,8,7,10,14,10,9.8
Q63016,Q63016,Slc7a5,-0.691364545,0.706123622,0.999934107,0.61926785,295790000,263660000,323520000,293780000,305320000,296414000,175380000,184730000,168450000,170940000,205650000,181030000,20,20,18,17,26,20.2,16,15,24,16,12,16.6
Q63083,Q63083,Nucb1,-0.380181191,0.835203163,0.999934107,0.768341087,28807000,25450000,29078000,15330000,0,19733000,27009000,22940000,13603000,11391000,0,14988600,2,6,4,3,0,3,3,5,5,3,0,3.2
Q63135-2;Q63135;A0A0G2K7Y0;O35520,Q63135-2,Cr1l,-0.501707041,0.783900537,0.999934107,0.706270605,36921000,43103000,41795000,28365000,35594000,37155600,46434000,34037000,29296000,19980000,0,25949400,5,6,5,3,6,5,5,3,3,2,0,2.6
Q63151-2;Q63151,Q63151-2,Acsl3,-0.32454832,0.858989672,0.999934107,0.798548358,29151000,32365000,22595000,26299000,20969000,26275800,25001000,28364000,0,24041000,26179000,20717000,3,4,7,5,5,4.8,4,4,0,5,3,3.2
Q63198,Q63198,Cntn1,-0.185472375,0.919073422,0.999934107,0.879361104,43848000,48112000,50548000,51647000,36176000,46066200,41423000,35988000,39519000,44019000,38874000,39964600,5,7,6,11,11,8,3,6,4,6,5,4.8
Q63228;M0RDJ4,Q63228,Gmfb,-0.342643997,0.851234507,0.999934107,0.788594746,283080000,285980000,305060000,288310000,251410000,282768000,262540000,201200000,190330000,227150000,218910000,220026000,27,19,21,12,16,19,17,16,8,9,12,12.4
Q63355,Q63355,Myo1c,0.446620277,0.807033492,0.999934107,1.362843854,33690000,32135000,33907000,40990000,35118000,35168000,40163000,45282000,44520000,53543000,52910000,47283600,3,6,4,4,5,4.4,6,7,7,10,4,6.8
Q63362,Q63362,Ndufa5,-0.496434006,0.786105452,0.999934107,0.70885674,34603000,45911000,43208000,53628000,30242000,41518400,29543000,27369000,23559000,32865000,31753000,29017800,4,4,5,4,4,4.2,4,2,4,4,3,3.4
Q63372-13;Q63372-7;Q63372-1;Q63372-9;Q63372-6;Q63372-10;Q63372-8;Q63372-5;Q63372-4;Q63372-12;Q63372-3;Q63372;Q63372-11;M0RBN6,Q63372-13,Nrxn1,1.005027268,0.585534846,0.999934107,2.00698143,31190000,0,19820000,32415000,42838000,25252600,46369000,44717000,43820000,69177000,46547000,50126000,4,2,2,5,7,4,9,7,4,13,7,8
Q63377,Q63377,Atp1b3,-0.080218298,0.964939857,0.999934107,0.945914507,123350000,106370000,128710000,144130000,122740000,125060000,126870000,133550000,125730000,87794000,109060000,116600800,13,11,11,10,11,11.2,10,9,8,5,7,7.8
Q63396,Q63396,Sub1,0.237455022,0.896528248,0.999934107,1.178911174,73413000,76130000,75345000,71733000,61738000,71671800,107030000,81255000,71824000,70715000,85741000,83313000,5,3,8,0,5,4.2,3,2,6,4,6,4.2
Q63413;A0A0G2KAT4,Q63413,Ddx39b,-0.231049237,0.899301513,0.999934107,0.852015017,2.00E+09,1807700000,2029900000,1837500000,1830800000,1900580000,1409600000,1781200000,1682900000,1664200000,1454800000,1598540000,63,63,68,68,63,65,54,71,56,50,47,55.6
Q63433,Q63433,Pkn1,-1.020294377,0.579963062,0.999934107,0.493015744,0,16141000,0,0,20724000,7373000,17963000,0,0,0,0,3592600,2,3,0,0,5,2,2,0,2,2,3,1.8
Q63486;Q63487-2;Q63487,Q63486,Rraga;RragB,-0.5438642,0.766349228,0.999934107,0.685931208,44422000,41613000,32468000,39044000,26927000,36894800,29600000,33992000,28247000,33500000,0,25067800,8,9,7,4,5,6.6,7,8,3,3,0,4.2
Q63524,Q63524,Tmed2,-0.084821847,0.962929524,0.999934107,0.942900964,114230000,107160000,124770000,98084000,101360000,109120800,137950000,93038000,93459000,99625000,83816000,101577600,11,9,13,6,7,9.2,7,8,8,5,7,7
Q63525;A0A0G2K0V8,Q63525,Nudc,0.484845634,0.790958236,0.999934107,1.39943612,273750000,311550000,317320000,335530000,324290000,312488000,383380000,365140000,491190000,438680000,477630000,431204000,29,24,28,19,18,23.6,22,22,25,25,22,23.2
Q63570,Q63570,Psmc4,0.223953603,0.902375158,0.999934107,1.167929833,317980000,354420000,325060000,314880000,327700000,328008000,297120000,403650000,418250000,380160000,390590000,377954000,35,39,33,33,35,35,23,31,34,21,23,26.4
Q63584,Q63584,Tmed10,-0.339555791,0.852556816,0.999934107,0.790284605,281620000,257200000,302490000,220440000,260450000,264440000,264550000,212120000,123480000,192630000,238200000,206196000,29,22,24,25,21,24.2,19,20,11,12,22,16.8
Q63610;Q63610-3,Q63610,Tpm3,0.488705075,0.789340953,0.999934107,1.403184848,429190000,443590000,502870000,519610000,459800000,471012000,635520000,688350000,584370000,747090000,606810000,652428000,33,28,29,22,24,27.2,32,31,25,31,31,30
Q63627,Q63627,Scaf4,0.588122244,0.748076784,0.999934107,1.503288851,0,9981000,0,1.30E+07,9708000,6537800,0,16782000,0,14887000,16745000,9682800,0,3,2,3,3,2.2,2,3,2,3,3,2.6
Q63632,Q63632,Slc12a4,-0.976141236,0.596156306,0.999934107,0.508337569,16952000,14345000,0,21757000,19101000,14431000,0,0,0,18382000,17879000,7252200,3,3,0,2,2,2,0,0,0,3,3,1.2
Q63737;Q63737-2,Q63737,Pdcl,-0.237151519,0.896659542,0.999934107,0.848418792,16755000,18594000,15490000,21449000,20531000,18563800,16108000,17681000,24358000,0,19172000,15463800,5,6,5,4,5,5,4,5,3,2,3,3.4
Q63768;Q63768-2,Q63768,Crk,0.358319953,0.844530193,0.999934107,1.281932193,210910000,212300000,208480000,220600000,207640000,211986000,269860000,283550000,263990000,256760000,266240000,268080000,25,20,18,21,22,21.2,17,21,17,18,14,17.4
Q63783;F1LRV0;A0A0G2K5I9;Q9QY90;P09414;Q63784;A0A0G2K4J4;Q63573;A0A0G2JUB7;Q6PWY0;Q9QY89,Q63783,NFI-A;Nfia;NF1L4;NFIA,-0.739301708,0.686991345,0.999934107,0.599029224,128150000,154050000,147290000,105110000,143080000,135536000,84563000,78858000,79947000,67241000,89708000,80063400,10,11,10,14,15,12,6,4,5,5,7,5.4
Q63798,Q63798,Psme2,0.864787174,0.638060516,0.999934107,1.821071004,138360000,143210000,132550000,134610000,114190000,132584000,254030000,234730000,234060000,224400000,243470000,238138000,14,12,10,5,7,9.6,18,19,17,14,16,16.8
Q63965,Q63965,Sfxn1,-0.309759871,0.865339753,0.999934107,0.806776031,274010000,258600000,266700000,265280000,267090000,266336000,219580000,233700000,192300000,218430000,196550000,212112000,29,23,26,21,15,22.8,15,20,15,9,13,14.4
Q64057,Q64057,Aldh7a1,0.099794238,0.956393237,0.999934107,1.071620613,1005700000,897410000,938460000,960350000,906260000,941636000,870080000,961360000,1163300000,1064900000,920350000,995998000,53,54,56,53,51,53.4,47,46,47,47,43,46
Q641W2,Q641W2,Myg1,0.172597286,0.924670365,0.999934107,1.127085753,55305000,72981000,47976000,71506000,63644000,62282400,65980000,67962000,72069000,72590000,67657000,69251600,13,17,6,12,8,11.2,7,8,8,4,6,6.6
Q641X3,Q641X3,Hexa,-1.294673016,0.485134581,0.999934107,0.407628544,153450000,151590000,145890000,107330000,112870000,134226000,52734000,67075000,40239000,50450000,59463000,53992200,13,22,16,15,19,17,4,9,6,7,7,6.6
Q641X8;A0A0G2K273,Q641X8,Eif3e,0.143619072,0.93728339,0.999934107,1.10467277,1103200000,1098900000,881730000,1056800000,1124900000,1053106000,1030800000,1149100000,1316300000,1134900000,1108800000,1147980000,25,29,24,21,18,23.4,23,33,23,19,20,23.6
Q641X9,Q641X9,Mrpl9,-0.273492768,0.880955771,0.999934107,0.82731419,14176000,13171000,15110000,13023000,15540000,14204000,10123000,11694000,9943100,12926000,13309000,11599020,5,3,3,3,2,3.2,3,2,2,2,3,2.4
Q641Y0,Q641Y0,Ddost,0.405884746,0.824272423,0.999934107,1.32490117,516950000,573130000,463530000,576710000,576550000,541374000,650750000,748410000,717250000,672430000,748300000,707428000,49,37,36,33,32,37.4,44,44,36,39,33,39.2
Q641Y2,Q641Y2,Ndufs2,-0.192017865,0.916229848,0.999934107,0.87538049,247670000,272860000,255110000,258650000,276150000,262088000,178280000,227460000,281870000,245150000,199620000,226476000,36,31,28,25,22,28.4,22,22,17,14,15,18
Q641Y8,Q641Y8,Ddx1,-0.044944552,0.980351364,0.999934107,0.969327071,775790000,921020000,970520000,985470000,869290000,904418000,800880000,908320000,912250000,935800000,768480000,865146000,44,49,44,55,52,48.8,40,39,43,45,36,40.6
Q641Z6,Q641Z6,Ehd1,0.134531104,0.941243082,0.999934107,1.097735976,325230000,244940000,233750000,172450000,159370000,227148000,283220000,242790000,238100000,257470000,210150000,246346000,17,31,28,23,24,24.6,30,35,25,26,31,29.4
Q641Z8,Q641Z8,Pef1,-0.719598928,0.694826791,0.999934107,0.60726624,25424000,27054000,24299000,24871000,29040000,26137600,22779000,27949000,0,0,27227000,15591000,5,5,4,6,6,5.2,5,4,2,0,4,3
Q641Z9,Q641Z9,Sdhc,-0.381070574,0.834824306,0.999934107,0.767867571,92228000,66935000,111660000,47009000,82587000,80083800,66207000,52039000,43536000,62503000,79197000,60696400,7,6,9,3,4,5.8,2,4,3,4,5,3.6
Q64259,Q64259,Vhl,-1.571870467,0.400138191,0.999934107,0.336372002,14958000,14480000,14340000,0,0,8755600,0,14570000,0,0,0,2914000,5,5,4,2,0,3.2,0,2,0,0,0,0.4
Q642A9,Q642A9,Vps16,-0.119082931,0.9479779,0.999934107,0.920772767,41795000,36878000,36999000,40124000,41238000,39406800,32087000,38790000,35178000,39161000,33910000,35825200,5,5,5,8,5,5.6,3,4,3,4,3,3.4
Q642B0,Q642B0,Gpc4,0.602945463,0.741994004,0.999934107,1.518814274,214810000,215810000,200040000,211120000,227760000,213908000,296400000,347410000,303170000,348530000,308270000,320756000,33,29,25,21,23,26.2,37,38,29,36,26,33.2
Q642D2;P20611,Q642D2,Acp2,-0.966400876,0.599761835,0.999934107,0.511781224,84544000,96274000,106920000,67313000,91365000,89283200,50396000,50425000,47048000,41106000,36571000,45109200,6,7,9,11,11,8.8,3,3,5,5,5,4.2
Q642E2;D3ZJD3;D3ZEI0;P17702,Q642E2,LOC100362069;RGD1565183;LOC690096;Rpl28,0.07182591,0.968605422,0.999934107,1.051046072,403170000,357300000,499170000,409350000,399240000,413646000,527460000,388450000,367360000,435470000,426240000,428996000,16,16,16,13,12,14.6,20,12,14,12,12,14
Q642F2;A0A0G2K7C6;Q99ND8;P35815;P35815-2,Q642F2,Ppm1b,-0.69166755,0.706001822,0.999934107,0.619137801,24775000,24877000,20933000,14538000,24013000,21827200,0,22844000,17726000,0,25751000,13264200,3,3,3,3,4,3.2,3,2,3,0,4,2.4
Q642G4,Q642G4,Pex14,1.218130873,0.510549977,0.999934107,2.326451116,0,11534000,9174700,0,8508200,5843380,9380600,1.40E+07,15111000,16558000,12128000,13435520,0,3,3,0,3,1.8,2,3,4,4,5,3.6
Q64303,Q64303,Pak2,-0.073005327,0.968090235,0.999934107,0.950655591,661150000,825710000,616910000,389970000,515400000,601828000,720770000,603880000,557100000,466620000,475290000,564732000,22,42,40,26,43,34.6,33,43,43,39,35,38.6
Q64350,Q64350,Eif2b5,-0.069699725,0.969534164,0.999934107,0.952836296,0,26078000,35501000,36311000,31683000,25914600,37991000,0,44909000,39157000,0,24411400,2,4,6,4,3,3.8,2,4,3,5,3,3.4
Q64361,Q64361,Lxn,-0.398219976,0.827527809,0.999934107,0.75879392,1.30E+09,1220200000,1266400000,1112600000,1280700000,1235180000,1063800000,955060000,786470000,962560000,859380000,925454000,62,60,62,53,50,57.4,49,45,43,44,30,42.2
Q64428,Q64428,Hadha,-0.225936113,0.901516206,0.999934107,0.855040041,1892900000,2274700000,2358800000,2419900000,2329500000,2255160000,1895300000,1960300000,2010900000,1752300000,1888100000,1901380000,93,139,145,168,153,139.6,75,94,92,109,76,89.2
Q64548,Q64548,Rtn1,0.219023296,0.904511876,0.999934107,1.163945329,497120000,489610000,503490000,526460000,486800000,500696000,570450000,530810000,597680000,598720000,577330000,574998000,29,35,38,37,36,35,30,30,26,27,28,28.2
Q64560,Q64560,Tpp2,0.268965765,0.882909082,0.999934107,1.204943721,444580000,452060000,486330000,519380000,504540000,481378000,544040000,535990000,5.96E+08,650550000,536200000,572556000,38,40,40,51,36,41,33,29,36,42,38,35.6
Q64605-2;Q64605;M0R711,Q64605-2,Ptprs,0.030764741,0.986549556,0.999934107,1.021553485,25890000,23684000,30229000,28236000,27037000,27015200,20824000,35226000,27524000,31312000,21412000,27259600,3,3,4,5,7,4.4,3,4,3,7,3,4
Q64611;A0A0G2K5P7;B3VPA7;B5LSW7;Q9R1F5,Q64611,Csad,0.512148838,0.779540575,0.999934107,1.426172843,0,170150000,160940000,1.98E+08,201210000,146060000,165080000,187630000,244700000,240600000,188620000,205326000,0,3,2,2,2,1.8,4,3,2,5,2,3.2
Q64620,Q64620,Ppp6c,-0.038040699,0.983368984,0.999934107,0.973976792,86009000,88039000,77884000,86595000,87942000,85293800,75841000,86514000,79302000,79721000,88368000,81949200,20,11,13,10,13,13.4,11,10,8,6,7,8.4
Q64654,Q64654,Cyp51a1,0.39709059,0.828007785,0.999934107,1.316849608,28270000,23056000,18971000,20507000,23414000,22843600,30627000,28727000,36178000,19536000,33166000,29646800,4,6,3,3,4,4,8,7,9,7,9,8
Q64LC9,Q64LC9,Rbm4b,-0.4049779,0.824657317,0.999934107,0.755247862,15704000,18618000,16414000,17942000,22445000,18224600,15197000,17536000,16571000,0,18291000,13519000,9,6,7,3,8,6.6,3,6,4,3,3,3.8
Q66H18;A0A0G2KA82,Q66H18,Sypl1,-0.214817079,0.906335419,0.999934107,0.861655403,62622000,52877000,50452000,58251000,56828000,56206000,48867000,75690000,52177000,63191000,0,47985000,9,7,6,6,8,7.2,7,5,5,6,4,5.4
Q66H20;Q66H20-2,Q66H20,Ptbp2,-0.889307561,0.628705955,0.999934107,0.539873175,96554000,65542000,56928000,75041000,63290000,71471000,35392000,35671000,38708000,47217000,33656000,38128800,6,12,11,9,12,10,4,4,4,4,2,3.6
Q66H39,Q66H39,Abcf3,0.188616403,0.917707396,0.999934107,1.139670206,34289000,36721000,39308000,43855000,39505000,38735600,48063000,48611000,43253000,39175000,38604000,43541200,4,3,3,6,7,4.6,5,5,5,3,5,4.6
Q66H61,Q66H61,RGD1562301,0.290132878,0.873783463,0.999934107,1.222752893,429620000,473440000,469250000,485300000,455140000,462550000,481460000,558290000,570630000,676300000,505840000,558504000,35,37,40,38,39,37.8,35,41,36,45,36,38.6
Q66H80,Q66H80,Arcn1,0.000784201,0.999657125,0.999934107,1.000543715,429460000,381040000,353060000,282630000,279490000,345136000,356540000,349020000,357750000,349640000,292220000,341034000,32,44,41,33,33,36.6,31,35,31,36,30,32.6
Q66H94,Q66H94,Fkbp9,-0.232827239,0.898531563,0.999934107,0.850965626,22084000,28755000,29978000,21104000,29975000,26379200,28262000,24713000,29696000,0,27597000,22053600,5,3,5,2,3,3.6,2,3,4,0,2,2.2
Q66HA6,Q66HA6,Arl8b,-1.154227829,0.532394435,0.999934107,0.449306604,119700000,119880000,153340000,117050000,130090000,128012000,98826000,64767000,79279000,41309000,0,56836200,9,8,8,8,11,8.8,5,8,7,4,2,5.2
Q66HA8,Q66HA8,Hsph1,0.214151147,0.906624205,0.999934107,1.16002118,300410000,347850000,356490000,359730000,343190000,341534000,375680000,378080000,425690000,442750000,333410000,391122000,18,23,21,25,24,22.2,19,21,25,21,19,21
Q66HC5,Q66HC5,Nup93,-0.096241037,0.957944109,0.999934107,0.935467192,166820000,181520000,176300000,190860000,191950000,181490000,153930000,166260000,157310000,194090000,166420000,167602000,14,19,21,20,22,19.2,13,13,9,15,14,12.8
Q66HD3,Q66HD3,Nasp,-0.475786317,0.794758735,0.999934107,0.719074763,386860000,440520000,436230000,447050000,427580000,427648000,285330000,277650000,308430000,324780000,320650000,303368000,27,39,34,42,32,34.8,23,21,20,25,20,21.8
Q66HF1,Q66HF1,Ndufs1,-0.338064391,0.853195583,0.999934107,0.791101992,652150000,765730000,792410000,802980000,760030000,754660000,580410000,644850000,584530000,527660000,605730000,588636000,30,38,37,37,39,36.2,28,26,26,33,34,29.4
Q66HF3;Q6UPE1,Q66HF3,Etfdh,-0.924594935,0.615368369,0.999934107,0.526828415,192160000,255570000,191100000,115340000,156860000,182206000,142160000,111380000,58313000,80867000,81181000,94780200,18,28,21,16,14,19.4,10,13,8,10,9,10
Q66HG4,Q66HG4,Galm,-0.184516914,0.91948861,0.999934107,0.879943676,21968000,26540000,25338000,26409000,24990000,25049000,18792000,22605000,23982000,22679000,20678000,21747200,5,4,3,4,3,3.8,3,5,4,2,4,3.6
Q66HG5,Q66HG5,Tm9sf2,0.120508632,0.947356153,0.999934107,1.087118066,106100000,84681000,93664000,101080000,83038000,93712600,110920000,101330000,106700000,90610000,92911000,100494200,7,8,9,11,11,9.2,10,7,11,12,8,9.6
Q66HG8;A0A0G2K5G9;Q6QI75,Q66HG8,Ik;Wdr55,-0.15239373,0.933461972,0.999934107,0.899756341,21127000,27168000,30229000,27575000,27340000,26687800,21275000,27323000,24619000,22408000,22789000,23682800,2,5,4,5,4,4,4,5,4,4,4,4.2
Q66HJ7;A0A0G2JVR0,Q66HJ7,Ptpra,-0.086177488,0.96233758,0.999934107,0.942015375,107420000,104580000,104490000,110680000,125360000,110506000,88219000,95982000,105910000,120550000,103260000,102784200,11,12,12,10,13,11.6,10,7,5,10,10,8.4
Q66HM7;P38656;D3ZLH9;Q4V8Q3,Q66HM7,Ssb;LOC680385,-0.056399892,0.975345094,0.999934107,0.96166086,489310000,430170000,441240000,541290000,552330000,490868000,422920000,495180000,509260000,466700000,435060000,465824000,39,42,41,38,31,38.2,32,27,27,23,27,27.2
Q66HR2,Q66HR2,Mapre1,0.16233085,0.929136522,0.999934107,1.119093711,460770000,433530000,394110000,439630000,461060000,437820000,504340000,568170000,424860000,476910000,444050000,483666000,27,26,23,20,16,22.4,27,36,21,25,19,25.6
Q66WT9;Q66SY1;A0A0G2JUQ5;Q498N4;A0A0G2JTT2;O55012-2;O55012,Q66WT9,Picalm,0.142444136,0.937795215,0.999934107,1.103773486,92362000,90031000,91232000,90517000,81859000,89200200,102840000,124630000,78462000,88461000,91341000,97146800,10,14,11,10,11,11.2,9,8,10,7,5,7.8
Q66X93;D4A8Y5,Q66X93,Snd1,0.386474157,0.832523384,0.999934107,1.307194806,1195700000,1250900000,1302500000,1449900000,1304400000,1300680000,1517600000,1578800000,1778800000,1889700000,1624600000,1677900000,45,66,50,61,63,57,56,54,54,61,65,58
