lipid,logFC.cells,logCPM.cells,LR.cells,PValue.cells,FDR.cells,Transition.cells,type.cells,C1.cells,C2.cells,C3.cells,C4.cells,C5.cells,R1.cells,R2.cells,R3.cells,R4.cells,R5.cells,blank.cells,logFC.media,logCPM.media,LR.media,PValue.media,FDR.media,Transition.media,type.media,C1.media,C2.media,C3.media,C4.media,C5.media,R1.media,R2.media,R3.media,R4.media,R5.media,blank.media,blank_solvent
22:0 Sitosteryl ester,0.326713677594221,8.978385131705997,13.427856929519155,2.479151699130971e-4,0.003797149694281211,754.7097 -> 369.1,CE,4371.2003288268,3570.1402587888,3634.7602539056,3710.280261993,4587.2403221119,4439.0203056327,6033.5404472348,5022.3603897089,3892.3802566526,5618.8204498287,4688.0203323364,0.2577973021986648,9.970925382708911,7.888368700140983,0.004975371984131481,0.07779201404355576,754.7097 -> 369.1,CE,5717.8804016099,7592.2005615211,10581.2207756054,6151.60044098,7717.7205543526,8507.680648804,9245.96066284,8934.0406303402,7841.1205635047,10488.8807754514,8433.1406250015,5464.94039154
SM (d16:1/22:1),0.31941580092555183,11.29135510491297,13.087185117277436,2.9732280089694597e-4,0.004418628951943722,757.6 -> 184.1,SM,21092.621829971,19224.8011589075,27290.9418220545,18412.8212394823,23208.2415733209,26536.2213363657,23871.182071678,32000.2423248362,31017.3622741473,23224.841991435,1505.5001029967,-0.6273937950435651,8.635605478524976,45.580373845778084,1.465021697388598e-11,1.0994987838901429e-9,757.6 -> 184.1,SM,3705.7402954091,4633.1603469853,4275.0603446939,3313.0202560436,4298.880290984,2851.7001647941,2356.2601623532,2464.1001853959,2723.0601882922,2667.5201835632,2869.6401824978,1021.5000724792
SM (d18:1/14:0),0.3094068914236958,8.95745971170427,12.063338976862845,5.142310674047065e-4,0.007213652637144527,675.5 -> 184.1,SM,4481.6403656013,4012.2402687066,5293.4403953549,3631.6002082831,3920.560298919,4244.2002639784,6521.7803955046,6606.7404365557,4729.9803047138,4404.0403518716,1169.7800941466,-0.305865949726052,8.068856456043333,10.751129703423471,0.0010421568301585485,0.020054838488051042,675.5 -> 184.1,SM,2022.3201332083,2522.7201766955,2816.1802101143,2732.8001747136,2307.2201614376,1869.8601341254,1919.7201194771,2287.8001480097,1930.8401222224,2015.040122984,1968.1401367192,1406.6201057438
TAG(48:3)_FA 18:1,-0.31038458301380123,7.092190385855,11.424465459420958,7.248327604204667e-4,0.009981412599918537,818.8 -> 519.8,TAG1,1314.7000846862,1457.6201095581,1290.2400932312,1428.6001129146,1392.4201087956,1143.8800849911,1037.0400772095,1111.360084534,1181.8400840761,1095.3600807193,948.9600639344,0.2880760243484549,7.2363857520790615,9.235577360822361,0.00237357548363314,0.04003075057228476,818.8 -> 519.8,TAG1,1129.2400741579,1234.1400794981,964.5000610352,1187.7600936887,1199.3600845337,1219.7600936892,1134.4200820923,1854.04013443,1206.4200744634,1557.0400924689,1005.1000709533,948.7600708006
SM (d18:1/18:0),0.2660144506636831,12.745430580144838,9.107991347631152,0.0025449518261523407,0.03092737886455264,731.6 -> 184.1,SM,54647.0643844946,56941.6433029791,81686.3659209388,46156.5631789911,65966.5642852546,65113.7252883682,62410.6245422063,89659.0066567092,81455.0659104972,69353.9653625391,4515.8402862569,-0.556566601212222,9.923071996139187,36.6025397254823,1.4484288229851514e-9,8.696366653202849e-8,731.6 -> 184.1,SM,10294.8008003176,10919.3207435498,9808.2007522494,9646.2006378085,10844.2407226675,7256.5805664125,7487.8406639096,6767.5604896496,5715.5203857382,7710.9405479337,1822.9401397696,1550.7201118461
SM (d18:2/24:1),0.26191571526487606,10.837074595314583,8.790644870175917,0.003027791994474153,0.0360691728865532,811.7 -> 184.1,SM,14444.0009269784,13944.4608116086,22816.4414215098,13743.760841374,15673.9409866334,18803.3212509111,18615.6612243653,20808.4617271563,20901.5015296948,17720.4812431282,3030.4802017206,-0.5493839860096412,8.960655449328765,35.22553001408734,2.9364865845049325e-9,1.574166558336394e-7,811.7 -> 184.1,SM,5537.2003784225,5377.580394746,4415.7402839659,4468.0403175353,4870.5603065487,3120.5402221694,2989.6001396194,3546.9403114317,3663.2402534484,3494.460220338,3820.1802597045,1071.8000717164
PC (32:2),0.25212433898032244,12.768078934903876,8.183090500802539,0.004228266245722135,0.048447539197167364,730.5 -> 184.1,SM,59480.9235917279,48387.9240341689,85236.1437683866,52967.183528885,66752.8445091752,68977.0040245148,68022.4663619851,89386.1888771266,80807.3069191172,66221.4240456293,2428.0601577759,-0.8140561431564349,9.726065184262362,77.61367946993003,1.252993171726787e-18,2.0897141675132302e-16,730.5 -> 184.1,SM,9297.4005966146,9672.8407325694,9903.0606384255,8393.5605697635,10989.1406326347,5801.6604423504,4921.3203544607,5732.8803863528,5380.8203544621,5556.6603965776,1390.7600898739,1216.5400772095
PCo(38:6),-0.2466779263654979,8.41957763408857,7.594142890912131,0.005855822811740974,0.06559395552554628,792.6 -> 184.1,SM,2997.8201942442,3523.0602607728,4247.5402984617,2895.0001716617,3915.8603096,2745.1401672374,2410.7601852423,3395.860218049,3126.020179748,3174.2401924144,1292.280094147,-0.33181882083290065,7.324610030987308,12.27748372575966,4.584560973385041e-4,0.009830608601501353,792.6 -> 184.1,SM,1465.1801109321,1477.9800987242,1430.3001060486,1644.4801254268,1318.2401123047,1177.8600921627,1099.6400794983,1305.1000862118,1189.220077515,1052.1600723267,1397.2000923153,984.1600646973
Lyso_PC(18:2),-0.24082812422458225,7.555972781548676,7.036118061598906,0.007988198814168143,0.08626105338177253,520.3325 -> 184.1,SM,1736.8201141363,1792.2401161184,2174.1601753226,1603.4201164244,1940.6401481633,1525.2400970459,1576.8401184085,2020.2801361077,1530.6200942995,1195.7800941466,1404.7401008601,-0.3306976471244168,7.995868109651073,12.510089223866107,4.0476027353150246e-4,0.009205229857133108,520.3325 -> 184.1,SM,2346.9201431277,2374.8201713556,2204.8801727297,2206.5801506032,2235.2201538097,1924.240123748,1782.3601264957,2226.5401573197,1781.4801254257,1321.7200965888,2804.760211944,1103.3200798033
PCo(38:3),0.23136286749420512,9.19060317653553,6.773861356060422,0.009250248564252739,0.09777903587988283,798.6 -> 184.1,SM,4768.7803611758,4971.1403198233,6518.580406186,4160.5802879318,5495.4603919982,5790.8004302993,5232.4603767447,6144.4204521237,7235.2404212925,6082.4804038975,1213.7600708003,-0.38281616238222665,7.688363823176793,16.595175911055,4.6268560557404895e-5,0.0012401626677975848,798.6 -> 184.1,SM,1950.520141602,1617.1801109326,1925.2401237503,2027.4801635737,2124.5401382452,1740.6601219182,1396.4801063539,1472.6800956737,1357.8200874321,1419.4600944522,1707.3601150509,994.9200744628
