lipid,logFC,logCPM,LR,PValue,FDR,Transition,type,Control1,Control2,Control3,Control4,RAC1,RAC2,RAC3,RAC4,blank,blank_solvent
PG (36:5),0.02430448469180451,7.282182793510764,0.057005121897465316,0.8112936628554931,0.9999898852101796,786.5015 -> 597.5015,PG,1051.8200645446,1038.1600761413,1140.5600776673,1057.5600738526,1123.8000755307,1073.3200836179,1088.4200859069,1068.5000686644,1065.5800743101,1053.2200698853
PG (36:6),-0.06163463115450728,7.3564067049765,0.36807659711559637,0.5440545586377067,0.9999898852101796,784.4859 -> 595.4859,PG,1086.7200736999,1077.9800758362,1331.2400970459,1125.5000801084,1048.8600807191,1161.0000839231,1128.5000915527,1082.2200813293,1179.5600852967,1071.3200759887
PG (36:7),-0.053549897041791604,7.301236706667658,0.2770310656216006,0.5986537972075705,0.9999898852101796,782.4702 -> 593.4702,PG,1227.0800933839,1040.360069275,1164.8000869751,1028.3800773621,1049.1200790404,1066.0200729367,1126.0800704957,1048.2600746155,1087.5200805662,1108.2200775145
PG (36:8),-0.04156365962342123,8.037052123400434,0.17369551358370083,0.6768481565664447,0.9999898852101796,780.4546 -> 591.4546,PG,2026.720146179,1854.9801483167,1846.9201316832,2019.5401420599,2019.4601249692,1811.3401184077,1862.4601249687,1822.6601295475,1123.3400764466,1170.9200859066
PG (38:0),-0.16749398635556859,7.802622819338873,2.7901955334619934,0.09484265409489316,0.9999898852101796,824.6111 -> 635.6111,PG,1254.840076447,1702.640110016,1853.4001502987,1987.8601379392,1570.6401062004,1431.2401046746,1721.8801383977,1322.6601028438,1079.5000724793,1072.9400749206
PG (38:1),-0.005587368126839259,7.294458348581425,0.003013451660076605,0.9562221832523131,0.9999898852101796,822.5954 -> 633.5954,PG,1070.7600746155,1121.200077057,1106.760082245,1045.9400787353,1019.4000740052,1058.6400756838,1034.4600677488,1207.0200881957,1124.8000831601,1087.0800743103
PG (38:2),-0.011288480721068996,7.296596636620399,0.012310074624109546,0.9116553809520698,0.9999898852101796,820.5798 -> 631.5798,PG,1149.2000808716,1058.8400726318,1104.9600677488,1077.2200775146,1087.9600868224,1081.9200782776,1120.820075989,1057.5600662233,1066.9800758362,1092.0000762942
PG (38:3),-0.15656087890992193,7.390281330179458,2.3810816817408025,0.12281248330441025,0.9999898852101796,818.5641 -> 629.5641,PG,1132.3400726318,1241.4800987241,1024.8600807189,1542.1401138307,1195.4200820926,1067.3000793457,1127.9600753786,1036.1400718688,1096.7000846862,1079.3800811767
PG (38:4),0.06712793891689746,7.348167133756663,0.4365902481013253,0.5087728053813079,0.9999898852101796,816.5485 -> 627.5485,PG,1153.0800819395,1126.7800788879,1050.0600814819,1088.2200775148,1163.9200782776,1075.2200851441,1234.7400894162,1146.1800918577,1123.4600830079,1084.6200714111
PG (38:5),-0.05194365739124218,7.332562757442325,0.26117128665209943,0.6093166048224128,0.9999898852101796,814.5328 -> 625.5328,PG,1197.1400871278,1025.6200714111,1094.160079956,1237.3400840761,1119.7200927734,1146.0600738524,1096.5000686644,1023.5400733946,1115.5400733947,1029.2800712585
PG (38:6),0.03048900387904427,7.347419503978795,0.09005851197803172,0.7641027829446123,0.9999898852101796,812.5172 -> 623.5172,PG,1066.520084381,1175.900089264,1149.400085449,1074.8200759887,1187.0200805664,1100.0000801085,1199.4600830075,1069.3600769043,1134.480075836,1043.5200729369
PG (38:7),-0.04797597084810938,7.312672320812744,0.22240902801554574,0.6372104586709906,0.9999898852101796,810.5015 -> 621.5015,PG,1252.8800773623,1069.0200729369,1075.2200775145,1064.3000755309,1089.4400787352,1110.0200767515,1059.2800827026,1049.1400833128,1148.3400878906,1049.4600753782
PG (38:8),-0.053041616376075226,7.347628009038441,0.2726219927087299,0.6015783160152833,0.9999898852101796,808.4859 -> 619.4859,PG,1162.0600814817,1123.2200736999,1226.9201011654,1098.8200759889,1112.0800781249,1133.2800712586,1141.0400810244,1051.1000671386,1110.8800849914,1085.2600708005
PG (38:9),-0.041714170649015433,7.433007526102828,0.16949847662105477,0.6805579124686298,0.9999898852101796,806.4702 -> 617.4702,PG,1299.2200965885,1155.3800849915,1258.1200866695,1165.100086212,1270.3000793457,1174.9800872801,1116.9800758359,1169.0200843808,1172.0600738524,1084.1200866699
PG (40:0),0.0019188932496562807,7.3414143293648575,3.5622651172262376e-4,0.9849416496722581,0.9999898852101796,852.6424 -> 663.6424,PG,1105.3600692751,1160.0600776671,1061.000076294,1113.7800750732,1081.6400833128,1136.4000816344,1142.8400764466,1078.3000793458,1236.6000823973,1037.1400794983
PG (40:1),0.012496588794014427,7.460779693449229,0.015244377906125095,0.9017364136488498,0.9999898852101796,850.6267 -> 661.6267,PG,1405.6801071174,1186.7000846858,1186.7000885007,1131.6600723269,1178.5200881959,1308.8200836182,1096.5400657653,1359.5800857539,1134.6200714113,1065.5000686646
PG (40:10),-0.07510090305858072,7.451557729041597,0.5502017455197157,0.4582352727470318,0.9999898852101796,832.4859 -> 643.4859,PG,1099.8600807191,1247.6800956726,1159.7200813294,1518.2001152033,1179.5400772094,1291.720092774,1128.3200759885,1164.8000831603,1128.6000671387,1111.6600761411
